state_ut,year,fraud_type,cases_registered,cases_chargesheeted,cases_convicted,persons_arrested,amount_saved_inr,complaints_count
Delhi,2023,Identity Theft,97,54,7.0,82,7777479.71,155
Andhra Pradesh,2024,Card Fraud,52,38,3.0,48,719998.99,73
Arunachal Pradesh,2022,Card Fraud,3,2,0.0,2,55534.27,5
Himachal Pradesh,2023,OTP Fraud,30,12,1.0,14,458717.3,49
Chhattisgarh,2020,Other,4,2,0.0,3,69565.55,7
Bihar,2021,Card Fraud,22,14,0.0,16,608539.29,29
Meghalaya,2020,Identity Theft,2,1,0.0,2,173321.93,2
Gujarat,2020,UPI Fraud,56,29,2.0,38,642158.34,87
Karnataka,2019,Identity Theft,34,19,2.0,31,3114382.65,55
Bihar,2024,Online Banking Fraud,64,41,1.0,73,2486319.76,79
Rajasthan,2022,Online Banking Fraud,83,51,4.0,91,5389439.86,141
Tripura,2019,Identity Theft,1,0,0.0,0,85077.58,1
Maharashtra,2023,OTP Fraud,299,164,10.0,164,5453128.58,392
Kerala,2024,Other,53,23,3.0,32,1225173.86,85
Jharkhand,2020,UPI Fraud,13,4,0.0,5,85443.37,18
Haryana,2022,Online Banking Fraud,90,44,4.0,80,6165064.41,155
Haryana,2020,Card Fraud,40,22,2.0,31,787137.66,54
Tripura,2020,Card Fraud,2,1,0.0,2,49370.37,3
Chhattisgarh,2024,OTP Fraud,44,17,2.0,28,427062.47,55
Kerala,2021,OTP Fraud,79,33,3.0,28,1301867.18,102
Telangana,2019,Identity Theft,35,21,2.0,39,1569726.24,45
Karnataka,2020,UPI Fraud,83,37,3.0,31,807580.36,107
Pondicherry,2020,UPI Fraud,4,2,0.0,3,36916.53,6
Chhattisgarh,2021,Online Banking Fraud,16,9,1.0,15,953432.34,20
Meghalaya,2023,Card Fraud,5,3,0.0,3,78882.3,7
Gujarat,2020,Online Banking Fraud,69,23,3.0,29,4692215.5,99
Meghalaya,2021,OTP Fraud,6,3,0.0,3,56807.75,9
Assam,2023,Other,22,11,1.0,13,340350.91,29
Karnataka,2023,Other,100,53,5.0,49,2492801.19,166
Rajasthan,2024,Identity Theft,93,49,5.0,50,6507788.57,132
West Bengal,2023,Other,68,27,4.0,30,1328459.6,103
Chhattisgarh,2024,Card Fraud,26,15,1.0,28,574709.0,37
Haryana,2019,Identity Theft,17,11,1.0,10,1656311.56,30
West Bengal,2022,Card Fraud,69,38,5.0,33,1811213.0,86
Punjab,2021,OTP Fraud,70,34,3.0,30,1236374.28,94
Manipur,2023,Other,4,2,0.0,2,80158.79,5
Kerala,2023,Other,49,28,2.0,24,776322.43,81
Odisha,2023,UPI Fraud,162,45,8.0,69,1695983.24,241
Madhya Pradesh,2024,Identity Theft,96,58,6.0,79,6889340.41,126
Haryana,2020,OTP Fraud,85,27,3.0,31,1052116.97,124
Madhya Pradesh,2022,Card Fraud,72,37,4.0,61,2061956.62,102
Maharashtra,2019,UPI Fraud,38,15,1.0,26,253451.11,56
Chhattisgarh,2023,Identity Theft,13,6,1.0,6,640031.53,16
Jharkhand,2024,UPI Fraud,146,77,2.0,139,1188647.53,191
Himachal Pradesh,2019,Online Banking Fraud,9,4,0.0,4,412366.46,13
Manipur,2022,Online Banking Fraud,6,3,0.0,6,432347.83,9
Nagaland,2024,OTP Fraud,9,6,0.0,6,115292.15,12
Sikkim,2023,Identity Theft,2,1,0.0,2,119012.44,3
Nagaland,2021,UPI Fraud,5,2,0.0,4,40461.19,7
Uttarakhand,2024,Other,27,12,1.0,17,597348.52,45
Nagaland,2023,Online Banking Fraud,6,3,0.0,4,337475.0,8
Arunachal Pradesh,2021,Identity Theft,2,1,0.0,2,103152.39,3
Mizoram,2020,Online Banking Fraud,3,1,0.0,1,214234.31,4
Telangana,2024,OTP Fraud,336,107,13.0,179,3952293.68,550
Goa,2021,Online Banking Fraud,8,4,1.0,4,447311.25,12
Assam,2021,Identity Theft,9,5,1.0,8,562213.66,15
Uttarakhand,2023,Card Fraud,25,17,2.0,26,665456.81,34
Pondicherry,2019,Card Fraud,3,2,0.0,3,78923.9,4
Maharashtra,2022,Other,80,35,3.0,43,1581794.22,97
Pondicherry,2020,OTP Fraud,9,3,0.0,3,85033.16,11
Arunachal Pradesh,2024,Online Banking Fraud,5,2,0.0,3,348735.53,7
West Bengal,2022,Online Banking Fraud,104,35,6.0,58,5974235.55,142
Madhya Pradesh,2022,Identity Theft,57,28,3.0,49,4853625.29,103
Bihar,2021,UPI Fraud,54,24,1.0,36,373281.87,64
Assam,2023,Card Fraud,31,22,2.0,22,808248.52,37
Karnataka,2022,Identity Theft,87,51,5.0,43,7670976.51,129
Maharashtra,2024,Online Banking Fraud,194,86,10.0,84,10649169.23,302
Tripura,2020,OTP Fraud,8,4,0.0,4,154297.49,10
Rajasthan,2023,Card Fraud,114,76,8.0,97,2638071.63,193
Meghalaya,2023,Other,4,2,0.0,3,87478.85,7
Assam,2022,Identity Theft,22,13,1.0,23,1827480.85,31
Jharkhand,2020,Identity Theft,7,3,0.0,5,382747.84,10
Chhattisgarh,2022,Card Fraud,18,10,1.0,10,387003.76,22
Himachal Pradesh,2021,OTP Fraud,14,6,0.0,6,126646.21,24
Uttar Pradesh,2024,Identity Theft,221,171,7.0,183,20233716.25,374
Uttarakhand,2022,Other,15,6,1.0,10,346577.8,22
Sikkim,2020,Other,1,0,0.0,0,13119.06,1
Chhattisgarh,2020,Online Banking Fraud,16,8,1.0,11,603530.09,26
Manipur,2023,UPI Fraud,26,8,0.0,8,223241.16,35
Mizoram,2022,Online Banking Fraud,5,2,0.0,2,254044.65,6
Telangana,2022,Card Fraud,120,75,6.0,99,3091673.77,141
Punjab,2020,Card Fraud,28,21,1.0,35,555524.49,51
Assam,2021,UPI Fraud,26,11,1.0,20,283060.07,34
Manipur,2021,UPI Fraud,5,2,0.0,3,55182.17,7
Andhra Pradesh,2020,OTP Fraud,51,19,2.0,23,540903.29,81
West Bengal,2024,Other,82,49,4.0,80,1234306.19,129
Nagaland,2024,UPI Fraud,27,8,1.0,13,316721.51,34
Pondicherry,2021,Card Fraud,4,2,0.0,3,61891.2,5
Jharkhand,2020,Other,6,3,0.0,3,100262.14,8
Meghalaya,2021,Identity Theft,2,1,0.0,1,185734.72,2
Haryana,2022,Card Fraud,70,49,4.0,40,954735.59,100
Nagaland,2024,Other,5,3,0.0,3,114896.58,9
Jharkhand,2023,Online Banking Fraud,33,20,1.0,27,2358782.13,47
Haryana,2020,Other,21,12,1.0,23,450296.17,30
Odisha,2022,UPI Fraud,80,32,4.0,56,654551.39,120
Uttarakhand,2022,Online Banking Fraud,32,21,2.0,18,1297992.06,48
Rajasthan,2024,Other,80,50,4.0,77,1724233.47,116
Andhra Pradesh,2024,UPI Fraud,284,106,10.0,188,3170359.78,349
Odisha,2022,Card Fraud,29,16,3.0,23,457636.45,43
Delhi,2024,Online Banking Fraud,127,67,7.0,93,8814470.2,195
Assam,2022,UPI Fraud,55,22,2.0,31,558542.61,81
Goa,2022,Identity Theft,7,4,1.0,4,321631.89,9
West Bengal,2022,OTP Fraud,184,72,7.0,129,3186958.47,221
Odisha,2023,Online Banking Fraud,43,23,3.0,32,2464420.7,76
Meghalaya,2019,Online Banking Fraud,4,3,0.0,4,201002.56,6
Telangana,2020,Online Banking Fraud,97,62,5.0,79,6144903.57,120
Rajasthan,2022,Other,45,18,2.0,27,520364.98,69
Tamil Nadu,2024,Card Fraud,138,99,8.0,137,2104909.6,217
Haryana,2019,Other,14,8,1.0,13,272044.44,17
Andhra Pradesh,2021,Other,15,5,1.0,6,362415.15,25
NCT of Delhi,2019,OTP Fraud,127,60,4.0,69,1558567.5,191
Uttar Pradesh,2022,UPI Fraud,379,137,6.0,116,4216070.79,597
Himachal Pradesh,2019,Other,2,1,0.0,2,32226.87,3
Manipur,2022,Card Fraud,5,4,0.0,6,79257.44,8
Goa,2024,Card Fraud,13,8,1.0,9,207155.44,18
Jharkhand,2024,Online Banking Fraud,29,17,1.0,14,1951326.97,34
Gujarat,2024,Online Banking Fraud,118,74,7.0,63,5856654.44,141
Tamil Nadu,2021,Identity Theft,52,34,3.0,47,3035665.96,66
Bihar,2023,UPI Fraud,213,94,2.0,128,2592721.03,314
Arunachal Pradesh,2023,Other,3,1,0.0,1,40293.84,4
NCT of Delhi,2019,Card Fraud,43,24,2.0,41,1083230.14,71
Tripura,2022,UPI Fraud,14,6,0.0,11,147663.62,25
Uttar Pradesh,2020,Online Banking Fraud,128,77,3.0,84,9777319.51,209
Puducherry,2023,UPI Fraud,32,16,1.0,24,178159.21,51
Tripura,2023,Identity Theft,5,3,0.0,3,436735.37,6
Tamil Nadu,2022,OTP Fraud,215,58,8.0,57,3280233.89,342
Uttar Pradesh,2022,Other,107,45,2.0,46,2662568.25,157
Kerala,2021,Card Fraud,37,21,2.0,23,537857.58,51
Goa,2023,Other,7,4,0.0,3,135873.41,10
Bihar,2022,UPI Fraud,135,60,1.0,95,1244495.36,204
Jharkhand,2023,Identity Theft,20,12,0.0,19,942869.78,25
Rajasthan,2024,Card Fraud,109,65,7.0,118,2845379.73,138
Nagaland,2020,UPI Fraud,1,0,0.0,0,11569.39,2
Telangana,2021,OTP Fraud,178,73,5.0,136,2423220.79,315
Andhra Pradesh,2023,Online Banking Fraud,46,29,2.0,25,2542443.87,62
Uttar Pradesh,2023,Other,158,88,3.0,95,2095925.48,225
West Bengal,2021,OTP Fraud,119,45,5.0,49,1363235.79,199
Assam,2023,OTP Fraud,52,28,2.0,47,969116.34,63
West Bengal,2024,Online Banking Fraud,107,68,7.0,106,8066589.98,130
West Bengal,2020,OTP Fraud,120,47,5.0,43,2351684.61,175
Tamil Nadu,2019,UPI Fraud,27,14,1.0,12,276488.21,41
Chhattisgarh,2023,OTP Fraud,36,16,1.0,29,343969.71,65
Punjab,2022,Card Fraud,52,33,3.0,29,1286728.29,92
Arunachal Pradesh,2024,Card Fraud,5,3,,5,146940.41,7
Punjab,2024,OTP Fraud,109,34,4.0,40,1924301.77,143
Punjab,2022,Online Banking Fraud,47,26,2.0,24,1975044.64,59
Chhattisgarh,2023,UPI Fraud,79,31,3.0,25,496545.78,132
Gujarat,2022,UPI Fraud,232,81,8.0,88,2288636.14,336
Delhi,2023,UPI Fraud,613,235,20.0,189,5281230.56,1111
Manipur,2024,Other,4,2,0.0,3,53086.32,7
Tripura,2022,Identity Theft,4,2,0.0,3,389792.62,6
Rajasthan,2019,Card Fraud,41,25,3.0,32,723789.88,52
Manipur,2023,Online Banking Fraud,10,23,0.0,3,380798.04,10
West Bengal,2023,UPI Fraud,452,165,22.0,298,4345632.55,538
Karnataka,2022,OTP Fraud,213,70,9.0,75,3073591.51,352
Assam,2021,OTP Fraud,32,12,1.0,19,484128.47,42
Pondicherry,2021,Identity Theft,3,2,0.0,3,184807.26,4
Jharkhand,2019,OTP Fraud,24,10,0.0,11,436621.05,43
Telangana,2019,OTP Fraud,136,68,6.0,119,2040069.23,207
Arunachal Pradesh,2024,UPI Fraud,23,10,0.0,13,224428.47,30
Arunachal Pradesh,2023,OTP Fraud,7,3,0.0,4,78069.52,8
Arunachal Pradesh,2023,Card Fraud,5,3,0.0,3,72108.65,7
Himachal Pradesh,2020,UPI Fraud,7,3,0.0,4,57212.45,11
Andhra Pradesh,2019,Identity Theft,9,5,1.0,8,533063.4,15
Mizoram,2019,UPI Fraud,1,0,0.0,0,6278.18,1
Kerala,2024,Card Fraud,74,49,5.0,39,2189984.22,98
Himachal Pradesh,2020,OTP Fraud,12,5,0.0,9,105696.22,17
Haryana,2021,Identity Theft,37,26,2.0,42,1706731.41,47
Puducherry,2023,OTP Fraud,16,7,1.0,11,206588.81,26
Chhattisgarh,2021,UPI Fraud,25,10,1.0,13,237731.51,39
Chhattisgarh,2020,Card Fraud,10,7,1.0,6,149591.53,13
Sikkim,2021,OTP Fraud,5,20,0.0,3,39827.43,5
Andhra Pradesh,2022,Identity Theft,33,20,2.0,19,1597158.04,52
Maharashtra,2021,OTP Fraud,194,79,7.0,111,3626592.51,239
Puducherry,2022,OTP Fraud,17,11,1.0,20,198975.64,23
Chhattisgarh,2021,Identity Theft,7,4,0.0,6,640983.85,9
Chhattisgarh,2019,Identity Theft,6,3,0.0,3,400163.44,8
Telangana,2019,Online Banking Fraud,106,49,6.0,63,7838712.45,144
Goa,2021,Card Fraud,5,3,0.0,3,109856.96,7
Jharkhand,2022,Card Fraud,17,11,0.0,11,492568.5,30
Rajasthan,2019,Identity Theft,20,12,1.0,14,1029430.87,33
Goa,2024,Other,7,3,1.0,3,173272.67,10
Kerala,2021,Other,18,11,1.0,18,400670.07,26
Sikkim,2023,Card Fraud,5,3,0.0,3,95892.17,9
Punjab,2024,Other,41,16,2.0,15,469622.32,52
Tamil Nadu,2019,Online Banking Fraud,90,48,5.0,90,3905987.32,159
Telangana,2023,Card Fraud,183,107,11.0,94,2651300.37,267
Andhra Pradesh,2019,UPI Fraud,13,6,0.0,6,131371.33,19
Gujarat,2019,Other,20,9,1.0,16,260754.37,27
Kerala,2019,OTP Fraud,66,32,3.0,52,1184305.83,94
Punjab,2021,Identity Theft,22,11,1.0,10,978697.47,26
Uttarakhand,2021,UPI Fraud,23,10,1.0,17,223960.25,35
West Bengal,2020,UPI Fraud,46,15,2.0,20,291761.14,81
Bihar,2023,OTP Fraud,102,47,1.0,50,1126015.65,185
Gujarat,2020,OTP Fraud,117,55,5.0,64,1752836.87,153
Goa,2024,UPI Fraud,51,22,2.0,23,294920.78,89
Madhya Pradesh,2023,Online Banking Fraud,96,57,5.0,84,6654780.35,140
Pondicherry,2019,OTP Fraud,7,4,0.0,6,92435.65,10
Rajasthan,2023,Other,69,35,3.0,49,1339802.63,95
West Bengal,2020,Other,24,10,1.0,8,452277.84,38
Sikkim,2023,UPI Fraud,14,7,0.0,11,115298.54,16
Arunachal Pradesh,2022,Other,2,1,0.0,2,29834.64,3
Tamil Nadu,2023,UPI Fraud,492,213,15.0,304,3416097.28,645
Meghalaya,2020,Card Fraud,2,1,0.0,2,42477.45,3
Madhya Pradesh,2022,Other,42,25,2.0,33,964301.31,53
Nagaland,2024,Card Fraud,6,4,0.0,6,146791.67,10
Madhya Pradesh,2020,Online Banking Fraud,55,37,3.0,58,3866352.85,89
Gujarat,2023,UPI Fraud,454,168,13.0,150,3352695.17,608
Madhya Pradesh,2021,Card Fraud,39,20,2.0,16,924058.73,62
Delhi,2021,Card Fraud,68,39,4.0,53,1018251.06,91
Uttar Pradesh,2020,Card Fraud,81,37,2.0,45,1141021.35,137
Delhi,2023,Card Fraud,146,77,8.0,70,3161928.04,214
Puducherry,2023,Identity Theft,6,4,0.0,3,482265.92,10
Arunachal Pradesh,2020,Online Banking Fraud,3,2,0.0,2,157905.0,4
Delhi,2024,Card Fraud,143,84,8.0,92,2716114.63,229
Goa,2020,UPI Fraud,6,2,0.0,2,41131.34,8
Madhya Pradesh,2019,Other,11,6,1.0,9,121720.55,16
Haryana,2023,UPI Fraud,321,149,10.0,164,3941479.38,498
Madhya Pradesh,2021,OTP Fraud,95,62,4.0,103,1198637.21,148
Punjab,2022,Other,24,12,1.0,21,564048.58,41
Meghalaya,2022,UPI Fraud,12,6,0.0,9,88460.5,18
Maharashtra,2024,Identity Theft,158,93,9.0,121,14053852.53,276
Delhi,2024,Identity Theft,114,74,6.0,105,8009783.13,136
Meghalaya,2020,UPI Fraud,3,2,0.0,2,30374.56,5
Tamil Nadu,2019,OTP Fraud,123,54,4.0,70,1815586.2,179
Meghalaya,2023,OTP Fraud,10,3,0.0,4,155120.89,14
Sikkim,2021,Identity Theft,1,1,0.0,2,60033.91,1
Chhattisgarh,2024,Other,20,12,1.0,20,227731.18,24
Maharashtra,2019,Card Fraud,65,44,3.0,40,1115603.25,82
Mizoram,2023,Other,3,1,0.0,1,63132.73,5
Manipur,2022,UPI Fraud,14,4,0.0,7,86285.05,21
Nagaland,2023,OTP Fraud,9,5,0.0,7,78173.61,16
Maharashtra,2020,Online Banking Fraud,120,84,6.0,113,7024714.21,181
Bihar,2019,UPI Fraud,15,7,0.0,7,99937.42,19
Odisha,2020,Identity Theft,11,7,1.0,12,899087.98,16
Uttar Pradesh,2022,Online Banking Fraud,220,96,5.0,161,11039894.7,310
Mizoram,2021,UPI Fraud,4,1,0.0,2,34515.6,7
Assam,2019,Other,6,2,0.0,3,148625.42,7
Uttar Pradesh,2023,Identity Theft,193,133,6.0,136,17976039.16,249
Himachal Pradesh,2019,UPI Fraud,3,1,0.0,2,17627.31,5
Assam,2022,Card Fraud,23,14,1.0,19,370648.27,32
Goa,2023,Card Fraud,13,6,1.0,7,174404.36,18
Puducherry,2022,UPI Fraud,19,8,0.0,7,222402.06,30
Gujarat,2024,Other,84,59,4.0,62,1092417.72,111
Nagaland,2022,Identity Theft,4,2,0.0,3,210703.98,5
Mizoram,2024,OTP Fraud,10,3,0.0,4,100545.6,13
Haryana,2020,UPI Fraud,52,24,2.0,45,377708.06,74
Odisha,2024,Online Banking Fraud,39,21,3.0,27,1500543.38,70
Haryana,2022,Other,42,24,2.0,25,574963.18,76
Uttar Pradesh,2021,Other,48,17,1.0,15,758946.6,57
Manipur,2021,Card Fraud,3,2,0.0,3,77519.68,4
Assam,2023,Identity Theft,21,11,1.0,16,1302195.36,31
Mizoram,2023,UPI Fraud,19,8,1.0,12,149153.13,24
Punjab,2020,Online Banking Fraud,48,27,3.0,23,3193874.85,57
Goa,2019,UPI Fraud,3,1,0.0,2,19914.34,4
Haryana,2021,Card Fraud,45,24,3.0,44,1244717.6,63
Gujarat,2020,Card Fraud,44,25,2.0,46,1306461.37,62
Meghalaya,2024,OTP Fraud,11,5,0.0,9,122926.42,17
Meghalaya,2021,UPI Fraud,5,2,0.0,2,36716.38,7
Meghalaya,2023,Online Banking Fraud,7,4,0.0,3,284712.65,12
Bihar,2020,Other,12,5,0.0,5,231175.63,19
Uttarakhand,2023,OTP Fraud,68,24,3.0,29,1024732.58,110
Kerala,2019,Identity Theft,14,8,1.0,12,1195143.09,19
Maharashtra,2023,Other,104,59,5.0,104,1666108.28,173
Mizoram,2019,Online Banking Fraud,3,2,0.0,2,199736.52,4
Uttar Pradesh,2020,Other,50,25,1.0,24,624202.01,86
Assam,2021,Card Fraud,14,8,1.0,9,369926.18,18
Maharashtra,2019,Identity Theft,36,19,3.0,16,2214124.18,44
Manipur,2024,Identity Theft,5,3,0.0,3,455674.19,8
Himachal Pradesh,2023,Identity Theft,9,4,1.0,5,380948.41,12
